"Handle","Site Name","Ward","Park & Recreation Ground","Outdoor Sports Facilities","Play Space","MUGA","BowlingGreen ","Football Pitch","Cricket Pitch","Rugby Pitch","Tennis Courts ","Pavilion / Changing Room","Other Buildings (list)","Dog Bins ","Footpaths","Formal/ Memorial Beds/ Floral Display  ","Play facility","Litter Bins","Seating","Signage","Car Park","Trees"
"Victoria","Royal Victoria Park","Kingsmead","Y","N","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y"
"Avon","Avon Park","Newbridge","Y","Y","Y","N","N","Y","N","N","N","N","N","Y","N","N","Y","Y","Y","Y","N","Y"
"Rose","Rosewarn Park","Southdown","Y","Y","Y","N","N","Y","N","N","N","N","N","N","Y","N","Y","Y","Y","Y","N","Y"
"Hedge","Hedgemead Park","Lansdown Ward","Y","N","Y","N","N","N","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y"
"Alice","Alice Park","Lambridge ","Y","Y","Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"Ken","Kensington Meadows","Walcot","Y","Y","Y","N","N","Y","N","N","N","N","N","Y","Y","N","Y","Y","Y","Y","N","Y"
"Sydney","Sydney Gardens","Bathwick","Y","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y"
"Henrietta","Henrietta Park","Abbey","Y","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","N","Y"
"Alex","Alexandra Park","Widcombe","Y","Y","Y","N","Y","N","N","N","N","N","N","Y","Y","N","Y","Y","Y","Y","Y","Y"
"Spring","Springfield Park","Lyncombe","Y","Y","Y","Y","N","Y","N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y"
